Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year,Date,Normalized Date
Daihatsu,New,Petrol,53000.0,Mira,1075000,Karachi,Cash,2015.0,2019-12-20,43113600
Hyundai,Used,Petrol,1.0,Santro,320000,Karachi,Cash,2002.0,2019-12-19,43027200
Honda,Used,Petrol,218000.0,Civic Prosmetic,760000,Karachi,Cash,2003.0,2019-12-14,42595200
Daihatsu,Used,Petrol,820000.0,Cuore,610000,Karachi,Cash,2006.0,2019-12-17,42854400
Suzuki,Used,Petrol,80000.0,Cultus VXR,825000,Karachi,Cash,2012.0,2019-12-19,43027200
Honda,Used,Petrol,91650.0,Civic VTi Oriel,1230000,Karachi,Cash,2010.0,2019-12-20,43113600
Suzuki,Used,Petrol,49800.0,Cultus VXR,645000,Karachi,Cash,2010.0,2019-12-13,42508800
Suzuki,Used,Petrol,28000.0,Alto,1210000,,Cash,2015.0,2019-12-19,43027200
Suzuki,Used,CNG,70000.0,Mehran VX,125000,Karachi,Cash,1996.0,2019-12-16,42768000
Honda,New,Hybrid,6000.0,Vezel,3200000,,Cash,2017.0,2019-12-18,42940800
Suzuki,Used,Petrol,72.0,Margalla,310000,,Cash,1993.0,2019-12-15,42681600
,,,,,90000,,,,2019-12-18,42940800
,,,,,445000,,,,2019-12-19,43027200
,,,,,1450000,,,,2019-12-18,42940800
Nissan,New,Petrol,55000.0,Clipper,885000,,Cash,2014.0,2019-12-18,42940800
Daihatsu,Used,Petrol,22000.0,Move,1150000,,Cash,2014.0,2019-12-17,42854400
,,,,,1325000,,,,2019-12-15,42681600
,,,,,450000,,,,2019-12-14,42595200
,,,,,985000,,,,2019-12-13,42508800
Suzuki,Used,Petrol,45000.0,Every Wagon,1600000,,Cash,2014.0,2019-12-13,42508800
,,,,,1290000,,,,2019-12-13,42508800
Daihatsu,Used,CNG,1.0,Cuore,400000,Karachi,Cash,2007.0,2019-12-17,42854400
Honda,Used,Petrol,47500.0,Civic VTi Oriel Prosmatec,1550000,Karachi,Cash,2012.0,2019-12-13,42508800
Toyota,Used,Petrol,90000.0,Corolla XLI,1025000,Karachi,Cash,2008.0,2019-12-15,42681600
Suzuki,Used,Petrol,100000.0,Cultus VXR,600000,Karachi,Cash,2006.0,2019-12-19,43027200
Suzuki,Used,Hybrid,68005.0,Mehran VXR,215000,Karachi,Cash,1998.0,2019-12-13,42508800
Suzuki,Used,CNG,69000.0,Cultus VXR,815000,Karachi,Cash,2012.0,2019-12-17,42854400
Honda,Used,CNG,40.0,Accord,270000,Karachi,Cash,1988.0,2019-12-15,42681600
,,,,,830000,,,,2019-12-13,42508800
Daewoo,Used,Petrol,1200000.0,Racer,255000,Karachi,Cash,1993.0,2019-12-14,42595200
Honda,Used,Petrol,15000.0,Accord,480000,Karachi,Cash,1997.0,2019-12-19,43027200
Suzuki,Used,Petrol,80000.0,Cultus VXR,585000,Karachi,Cash,2008.0,2019-12-16,42768000
Honda,New,Petrol,5.0,Civic VTi,560000,Karachi,Installment/Leasing,2018.0,2019-12-18,42940800
Daihatsu,Used,CNG,11.0,Charade,120000,Karachi,Cash,1985.0,2019-12-13,42508800
Suzuki,New,Petrol,21000.0,Alto,1280000,Karachi,Cash,2015.0,2019-12-13,42508800
Daihatsu,Used,CNG,100000.0,Charade,225000,Karachi,Cash,1990.0,2019-12-19,43027200
Suzuki,Used,CNG,10000.0,Other,150000,Karachi,Cash,1984.0,2019-12-20,43113600
Hyundai,Used,Petrol,103000.0,Santro,385000,Karachi,Cash,2006.0,2019-12-19,43027200
Suzuki,Used,CNG,3600.0,Bolan,750000,Karachi,Cash,2016.0,2019-12-15,42681600
Honda,Used,Petrol,105000.0,Freed,1950000,Karachi,Cash,2013.0,2019-12-19,43027200
,,,,,500000,,,,2019-12-16,42768000
Daihatsu,Used,Petrol,78000.0,Move,1175000,Karachi,Cash,2013.0,2019-12-17,42854400
Suzuki,Used,CNG,123456.0,Mehran VXR,185000,Karachi,Cash,1993.0,2019-12-16,42768000
Suzuki,Used,Petrol,90000.0,Cultus VXR,630000,Karachi,Cash,2008.0,2019-12-19,43027200
Suzuki,Used,CNG,77777.0,Alto Lapin,290000,Karachi,Cash,2001.0,2019-12-13,42508800
Suzuki,Used,Petrol,123456.0,Wagon R,760000,Karachi,Cash,2012.0,2019-12-16,42768000
Suzuki,Used,,100000.0,,350000,,,1992.0,2019-12-13,42508800
Suzuki,Used,Petrol,10000.0,Alto,520000,Karachi,Cash,2011.0,2019-12-18,42940800
Suzuki,Used,CNG,1.0,Mehran VX,340000,Karachi,Cash,2008.0,2019-12-20,43113600
KIA,Used,CNG,10.0,Pride,185000,Karachi,Cash,1996.0,2019-12-15,42681600
Mitsubishi,Used,Petrol,175420.0,Lancer,800000,Karachi,Cash,2006.0,2019-12-14,42595200
Suzuki,Used,CNG,10000000.0,Khyber,116500,Karachi,Cash,1992.0,2019-12-19,43027200
Mitsubishi,Used,CNG,900000.0,Lancer,200000,,Cash,1991.0,2019-12-18,42940800
Suzuki,Used,Petrol,10000000.0,Mehran VX,170000,Karachi,Cash,1990.0,2019-12-15,42681600
Suzuki,Used,CNG,1234.0,Alto,560000,Karachi,Cash,2008.0,2019-12-16,42768000
Toyota,New,Petrol,22000.0,Corolla GLI,2100000,Karachi,Cash,2017.0,2019-12-20,43113600
Suzuki,Used,Hybrid,52500.0,Alto,550000,Karachi,Cash,2010.0,2019-12-16,42768000
Toyota,Used,Diesel,100.0,Hilux,2300000,Karachi,Cash,2006.0,2019-12-19,43027200
Suzuki,Used,Petrol,10000.0,Bolan,410000,Karachi,Cash,2005.0,2019-12-19,43027200
Toyota,Used,Petrol,142350.0,Corolla GLI,845000,Karachi,Cash,2003.0,2019-12-19,43027200
,,,,,250000,,,,2019-12-15,42681600
Honda,Used,Petrol,54000.0,Civic Prosmetic,2000000,Karachi,Cash,2014.0,2019-12-16,42768000
Suzuki,Used,CNG,313188.0,Bolan,455000,Karachi,Cash,2007.0,2019-12-15,42681600
Suzuki,Used,CNG,1.0,Swift,105000,,Cash,1991.0,2019-12-16,42768000
Honda,Used,Petrol,30000.0,Civic VTi Oriel,1200000,Karachi,Cash,2010.0,2019-12-18,42940800
Suzuki,Used,CNG,90000.0,Mehran VXR,230000,Karachi,Cash,1998.0,2019-12-19,43027200
Toyota,New,Petrol,85000.0,Passo,1470000,,Cash,2015.0,2019-12-20,43113600
,,,,,499000,,,,2019-12-14,42595200
Suzuki,Used,CNG,55000.0,Mehran VX,495000,Karachi,Cash,2012.0,2019-12-14,42595200
,,,,,80000,,,,2019-12-16,42768000
Honda,New,Petrol,30.0,Vezel,800000,Karachi,Installment/Leasing,2018.0,2019-12-14,42595200
,,,,,1260000,,,,2019-12-13,42508800
Honda,Used,Petrol,90000.0,Civic Prosmetic,690000,,Cash,2004.0,2019-12-14,42595200
Suzuki,Used,Petrol,22000.0,Bolan,640000,Karachi,Cash,2012.0,2019-12-17,42854400
Mitsubishi,New,Petrol,197000.0,Pajero,1300000,Karachi,Cash,1994.0,2019-12-19,43027200
Honda,Used,CNG,1.0,Civic VTi,375000,,Cash,1996.0,2019-12-13,42508800
Daihatsu,Used,Petrol,42000.0,Mira,1350000,,Cash,2015.0,2019-12-18,42940800
Suzuki,Used,,,,500000,,,,2019-12-16,42768000
Suzuki,Used,CNG,49000.0,Bolan,480000,Karachi,Cash,2007.0,2019-12-13,42508800
Suzuki,Used,,80000.0,,590000,,,2013.0,2019-12-19,43027200
Suzuki,New,Petrol,1.0,FX,150000,Karachi,Cash,1988.0,2019-12-18,42940800
Daihatsu,Used,Petrol,80000.0,Mira,730000,Karachi,Cash,2008.0,2019-12-13,42508800
Honda,Used,CNG,888005.0,Other,74000,Karachi,Cash,1983.0,2019-12-13,42508800
Toyota,Used,Diesel,111111.0,Hilux,1250000,Karachi,Cash,1994.0,2019-12-16,42768000
Suzuki,Used,Petrol,1.0,Potohar,425000,Karachi,Cash,1994.0,2019-12-18,42940800
Honda,Used,Petrol,98115.0,Civic Prosmetic,830000,Karachi,Cash,2005.0,2019-12-18,42940800
Honda,New,Petrol,10.0,N One,300000,Karachi,Installment/Leasing,2017.0,2019-12-15,42681600
,,,,,495000,,,,2019-12-15,42681600
Toyota,Used,Petrol,80000.0,Land Cruiser,980000,Karachi,Cash,1991.0,2019-12-19,43027200
Honda,Used,Hybrid,79500.0,Freed,1695000,Karachi,Cash,2011.0,2019-12-17,42854400
Toyota,New,Petrol,20000.0,Vitz,320000,,Cash,2015.0,2019-12-13,42508800
Suzuki,Used,CNG,10000.0,Carry,175000,Karachi,Cash,1981.0,2019-12-14,42595200
Toyota,Used,Diesel,150000.0,Hilux,2500000,Karachi,Cash,2005.0,2019-12-14,42595200
,,,,,399000,,,,2019-12-20,43113600
Suzuki,Used,Petrol,25000.0,Bolan,700000,,Cash,2016.0,2019-12-15,42681600
Toyota,Used,Petrol,31000.0,Corolla GLI,1840000,Karachi,Cash,2016.0,2019-12-19,43027200
Suzuki,Used,Petrol,46000.0,Wagon R,1360000,Karachi,Cash,2015.0,2019-12-18,42940800
Toyota,New,Petrol,36000.0,Corrolla Altis,2500000,Karachi,Cash,2017.0,2019-12-14,42595200
Toyota,Used,Hybrid,89000.0,Prius,2500000,,Cash,2015.0,2019-12-16,42768000
,,,,,2300000,,,,2019-12-19,43027200
Toyota,New,Diesel,135000.0,Prado,1400000,Karachi,Cash,1992.0,2019-12-13,42508800
Toyota,New,Diesel,52000.0,Hilux,3600000,Karachi,Cash,2015.0,2019-12-17,42854400
Suzuki,Used,CNG,74000.0,Cultus VXR,580000,Karachi,Cash,2008.0,2019-12-18,42940800
Suzuki,Used,Petrol,10000.0,Baleno,380000,Karachi,Cash,1994.0,2019-12-15,42681600
Suzuki,Used,CNG,1.0,Cultus VXR,750000,,Cash,2011.0,2019-12-14,42595200
Nissan,New,Petrol,23000.0,Dayz,1250000,Karachi,Cash,2015.0,2019-12-20,43113600
Suzuki,Used,CNG,99999.0,Kizashi,165000,Karachi,Cash,1990.0,2019-12-15,42681600
Toyota,New,Petrol,10.0,Passo,320000,Karachi,Installment/Leasing,2018.0,2019-12-15,42681600
Toyota,New,Petrol,46000.0,Corrolla Altis,1750000,Karachi,Cash,2016.0,2019-12-15,42681600
